Concepto,Respuesta,Codigo
granito,tierra,terrestre
granito,rugoso,texturas
granito,construcción,material_construccion
granito,desagradable al tacto,texturas
granito,raspa,lastimar
granito,suciedad,suciedad
granito,duro,solido
granito,fino,detallista
granito,arido,sequia
granito,seco,sequia
cáscara,proteger,proteccion
cáscara,decorar,decorativo
cáscara,nutrir,nutritivo
cáscara,caracterizar,caracteristica
cáscara,fragil,fragil
cáscara,pedazos,fragmentado
cáscara,rica,comida_sabrosa
cáscara,protege a la comida,proteccion
cáscara,da forma,contorno
cáscara,contiene todos los nutrientes,nutritivo
caracol,lento,lentitud
caracol,asco,desagrado
caracol,baboso,baboso
caracol,flojo,holgazanear
caracol,sorpresivo,sorpresa
caracol,escondido,oculto
caracol,raro,excentrico
caracol,autoprotección,proteccion
caracol,miedoso,temor
caracol,imperceptible,invisible
hoguera,calienta,caliente
hoguera,grande,tamanos
hoguera,da comida,comida
hoguera,a base de calor,caliente
hoguera,peligroso,riesgoso
hoguera,me recuerda a Hansel y Gretel,personajes_literarios
hoguera,miedo,miedo
hoguera,imponente,relevancia
hoguera,multiuso,multiuso
hoguera,difícil de prender,inaccesible
espiral,círculo,circunferencia
espiral,perfecto,perfeccionismo
espiral,desigual,desigualdad
espiral,fino,sutileza
espiral,remolino,remolino
espiral,tranqulidad,tranquilidad
espiral,llama la atención,notorio
espiral,se parece a un torbellino,remolino
espiral,pensar,inteligencia
espiral,reflexionar,reflexion
anciana,señora de mucha edad,vejez
anciana,cansada,cansancio
anciana,amorosa,amabilidad
anciana,comida rica,comida_sabrosa
anciana,sabia,conocimiento
anciana,experimentada,experiencia
anciana,tranquila,tranquilidad
anciana,apañadora,acompanar
anciana,madre,madre
anciana,preocupada,preocupacion
espanto,miedo,miedo
espanto,alejar,apartarse
espanto,pesadilla,pesadilla
espanto,sentimiento,sentimientos
espanto,sorpresa,sorpresa
espanto,asco,desagrado
espanto,pena,angustia
espanto,trauma,trauma
espanto,rechazo,rechazo
espanto,evitar,evadir
encanto,amor,amor
encanto,llamar la atención,sobresaliente
encanto,perfección,perfeccionismo
encanto,mover el piso,refran_popular
encanto,característica,caracteristica
encanto,reconocible,reconocer
encanto,querer,amor
encanto,sentimiento,sentimientos
encanto,pareja,noviazgo
encanto,abrazo,afectividad
estatus,altura,estatura
estatus,mejor o peor,valoracion
estatus,representa a una persona,representativo
estatus,da lugar en la sociedad,privilegios
estatus,genera un ranking,jerarquia
estatus,se basa en dinero,dinero
estatus,poder,poder
estatus,superioridad,jerarquia
estatus,inferioridad,jerarquia
estatus,afecta en el trabajo,consecuencia_laboral
levante,fuerza,fuerza
levante,aguante,resistencia
levante,subir,trepador
levante,capacidad,capacidad
levante,cambiar de lugar,movimiento
levante,soportar,resistencia
levante,ayudar,ayudar
levante,cambiar de lugar,movimiento
levante,comodidad,comodidad
levante,mecánica,mecanico
ajedrez,es un juego de mesa,juego_de_mesa
ajedrez,tiene reglas,instrucciones
ajedrez,se juega de a dos,relacional
ajedrez,se juega con un tablero,tablero
ajedrez,se usan 16 piezas móviles,piezas_tablero
ajedrez,implica estrategia,estrategia
ajedrez,se origina en la india,origen_indio
ajedrez,cada pieza tiene un movimiento específico,instrucciones
ajedrez,se juega en silencio,tranquilidad
ajedrez,algunos lo consideran un deporte,deporte
cadáver,persona que falleció,difunto
cadáver,cuerpo sin vida,difunto
