,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
110,suma,Esfuerzo,Picadura,es un juego de mesa,Habil,hasta donde llegare,Ayuda,señora de mucha edad,Personal,Puntuales,implica reparar algo roto,Ropa,vivo,Grito,bien y mal,patria,antiguo,panza,Observador,diversion,persona que falleció,Pijama,Amigos,iglesia,barco,lento,platon,Comida casera,Ave flaca,Hechizo,frutas y verduras,Unión de dos trozos de algo,Bote,proteger,Sabor,Sin verguenza,parte que contribuye a completar una cosa,Sabor del azúcar,es personal,amor,un ser,lo que me rodea,miedo,círculo,roca,altura,Incorrecto,Temporal,Apariencia,Peludos,casino,Adrenalina,infinita,Disparo,tierra,calienta,Biologia,catástrofe natural,pista,Fisica,poder,Entrar,Curiosidad,sentir,Cartel,fuerza,plano,Sobriedad,líquido que sale de los ojos,pena,Acompañante,adultez,alcohol,obligaciones,cara,Dios,proyectiles,comportamiento,reina isabel,falso,misterioso,Poca visibilidad,Calidad,película,castillo,palo para hacer fuerza,animales,cementerio,grande,Abilidad,arma de fuego,Tierra,organización,afirmación,Bebe,Va y ven,Alegar,narciso,regreso del jedi,hotel,Ley de Hooke,Otoño,respuesta,Dinero,corona virus,germinar,auxilio,Rigido,Cadera,aire,inseguridad,Desconcentrado,ofrenda,documento,real,muerto viviente,superficialidad,mundo,amargo,conexión
111, agregar,Entrega,Pinchazo,tiene reglas,Fuerte,altura,Confort,cansada,Abilidad unica,Definidas,implica remodelar algo en mal estado,Vestir,tenaz,Comunicación,equilibrio,patriotismo,dentista,chela,Investigador,descontrol,cuerpo sin vida,Verano,Alcohol,abuso,equipo,asco,luz,Comida chilena,Traía a los hijos,Brujeria,frutas y verduras,Se usa aguja,Mar,decorar,Felicidad,Engañar,a veces hacen la diferencia,Actitud amable y cariñosa,puede ser positiva,llamar la atención,algo que existe,contexto,alejar,perfecto,marmol,mejor o peor,Destruccion,Personal,Desagrado,Curiosos,dinero,Aventura,estrellas,Defensa,rugoso,grande,Cuerpo humano,fenómeno natural,rastro,Movimiento,autoridad,entrada,Misterio,perdón,Aviso,aguante,valle,Salud,trozo de cristal de una lámpara,compasión,Apoyadora,Adulto,drogas,resposabilidad,parte blanda de cara,Religión,bombas,manifestaciones,reinado ,teatro,mentiroso,Oscura,Definición,encargado de velar por la fe del ahijado,edificio,permite levantar objetos pesados,lugar,conjunto de dioses antiguos,casa,Rapidez,matar,venus,jerarquia,creencia,Habitación,Ciclico,Enojo,agua,volver,represa,FIsica,Viento,movimiento post terremoto,Comida,limpio,crecer,ayuda,Dureza,Bailar,viento,miedo,Normal,merecido,complicado,que tiene respaldos,se alimenta de sangre,orgullo,trotamundos,derivado del vino,íntimo
112,operacion,Resistencia,Punzante,se juega de a dos,Creativo,distancia,Esfuerzo,amorosa,Destreza,bordes,implica ordenar ,Moda,inteligente,Soledad,peso,cultura,navajas,mala alimentacion,Inteligente,carrete,cuerpo en descomposición,Abuelo,Tiempo libre,pedofilia,deporte,baboso,noticias,Familia,Color blanco,Magia,se cosecha lo que se siembra,Necesita hilo,Oceano,nutrir,Lujo,Enemistad,hay gente considerada muy detallista,Actitud amable y cariñosa,puede ser negativa ,perfección,asociación de personas que se dedican a hacer algo ,ambiente,pesadilla,desigual,escultura,representa a una persona,Ilegal,Periodo,Prejuicio,Carnivoros,suerte,Rapidez,planetas,Limite,construcción,da comida,Natural,remolino,evidencia,Energia,manifestación,bienvenida,Invetigar,disculpas,Informacion,subir,desierto,Despierto,secreción,algo que se siente hacia otras personas,Preocupada,Sobrevalorado,ilegal,esfuerzo,zona lateral de la cara,Magia,cañonazo,características,príncipes y princesas ,puesta en escena,creido,Tenebrosa,Imagen,católico,amplio,fabricadod e madera o metal,cocodrilos,lugar,patio,Maestria,asesinar,marte,pueblo,supuestos,Banco,Fisica,Buscar arreglar algo,espejo,de nuevo,motel,Movimiento armonico,Desorganizado,acción de contestar,sueldo,cuidado,planta,apoyo en momento de urgencia,Poca desformacion,Movimiento,respiración,temor social ,Chistoso,dios,demoroso,veraz,inmortal,engreimiento,avión,usado para condimentar ensaladas,innegable
113,aumento,Compromiso,Abejas,se juega con un tablero,Trabajador,metas,Precencia,comida rica,Competente,lineas,hay gente que se dedica a arreglar cosas,Formalidad,maquiavelico,Tristeza,verdulería,identificación,espuma,hombre,Libre,fiesta,se entierran en un cementerio,Asado familiar,Celebración,curas,fútbol,flojo,realidad,Estar en casa,Tiene plumas,Edad media,se puede usar en sentido figurado,Hay puntadas,Viaje,caracterizar,Disfrutar,Exagerar,minuciosidad,Nivel de sensación de dulzor,es un sentimiento,mover el piso,un alma,naturaleza,sentimiento,fino,arte,da lugar en la sociedad,Malo,Cambios,Falta de carisma,Cazadores,farkas,Descontrol,oscura,Amenaza,desagradable al tacto,a base de calor,Desarrollo,viento en círculos,huella,Rotacion,causa,puerta,Curiosidad,culpa,Advertencia,capacidad,seco,Bajo efectos de estupefacientes,gota,sentimiento,Quien acompaña a las embarazadas,Necesario,adicción ,ley,cachetes,Dolencia,destrucción,forma de tratar a otros,europa,actuación,pretencioso,Humeda,Claridad,presente en bautismo y confirmación,alcazar,uso doméstico o industrial,ranas,templo,espacio,Destreza,defenderse,mercurio,sociedad,marco teórico,Incomodo,Movimiento,Solucion,uno mismo,viaje en el tiempo,anticipación,Tecnologia,Desorden,copia,remuneración,salúd,concepción,respaldo,Resiliencia,Juerga,alivio,temperamento asocial,Poco agil,admiración,necesario,tangible,ser legendario,presunción,barco,producto de la descomposición de algo,inexplicable
114,CRECIMIENTO,Fuerza,hinchazón,se usan 16 piezas móviles,Esforzado,determinismo,Mal oliente,sabia,Habilidad,poligonos,implica ajustar algo en mal estado,Aparienicia,valiente,Luna llena,antigua,amor a los suyo,peluquero,grasa,Meticuloso,alcohol,cuerpo frío,Comodidad,Fiesta,papas,responsabilidad,sorpresivo,oscuridad,Invierno,Forma estilizada,Mito,campo,Punto de mayor debilidad en una tela,Vacaciones,fragil,Comida,Sin escrúpulos,intención,Contrario a amargor,sensación que puede ser intensa,característica,tiene valor ,paisaje,sorpresa,remolino,replica,genera un ranking,Saltarse el torniquete,Distintas personalidades,Sin atractivo,Variados,ludopata,Fugaz,sin oxígeno,Inseguridad,raspa,peligroso,Quimico,peligro,lo que queda después que algo sucede,Movimiento,intromisión,apertura,Incomodes,dolor,Anuncio de la carretera,cambiar de lugar,deforestacion,Sensible ,humedad,llanto,Figura femenina que apoya religiosamente a alguien,Algo imposible de alcanzar,consumo,ordenes,cachete,Solución,guiado,educación social,historia,mentira,magico,Fenomeno climático,Puro,protector,piedras,uso doméstico o industrial,sapo,relacionado con la muerte,trozo de tierra,Investigación judicial,disparar,saturno,comunión,hipótesis,Estudio,Tiempo,Desacuerdo entre partes,espejismo,repetir,guardar,Suspenciones,Revolución,alegato,pago mensual,hospital,cuidado,Grito dado cuando alguien necesita ayuda,Irrompible,Liviano,exasperación,verguenza,Nulo,regalo,legal,Comprobado,viste de negro,sobrevaloración propia,mar,olor desagradable,inesperado
115,inclusion,Voluntad,Defensa propia,implica estrategia,Artista,limitaciones,Acompañar,experimentada,Maestría,figuras,implica colocar algo de forma correcta,Presentación,digno de seguir,Pedir ayuda,útil,terrenal,silla,comida rapida,Curioso,arte,se queman y vuelven cenizas ,Sentirse en casa,Diversión,catolicismo,ejemplar,escondido,murcielagos,Caliente,Hay en el estero,Culto,árboles,tejido,Recorrer el mundo,pedazos,Dulce,sin verguenza,importante,enternecimiento,es una reacción a un estímulo,reconocible,alguien,familia,asco,tranqulidad,representación,se basa en dinero,No pagar impuestos,Varias caras,Horripilante,Ronroneo,apuesta,Momentaneo,hermosa y misteriosa,Muerte,suciedad,me recuerda a Hansel y Gretel,Salud,viento,vestigio,Fuerza,influencia,comienzo,misterio,arrepentimiento,Infografía,soportar,grieta,Demasiado atento,permiten la limpieza del ojo,decepción,hada,Objetivo,vil,autoridad,cara,Petición,guerra,costumbres,descendientes,engaño,dificil de encontrar,Poca visibilidad,Variedad de colores,película,marmol,asociado al torque,agua,monumento,extenso,habilidad,apuntar,jupiter,infraestructura,concepto,Apretado,Objeto oscilante,Desconformidad anunciada por alguien,tal y como es,retorno ,cupo,Reposicion,Anarquía,Respuesta a otra persona,valoración economica de un trabajo,esteril,riego y nutrientes,Acción de ayudar a otra persona,Conciso,Libertad,impaciencia,cobardia,Trabado,obsequio,Fome,Ciencia,muere por estaca,arrogancia,recorrer,mal carácter,importante
116,factores,Sostener,Dolor,se origina en la india,Traje de obrero,ser realista,Caliente,tranquila,Requiere esfuerzo,interseccion,lista,Imagen personal,ejemplar,Pedir consuelo,precisa,fiestas patrias,moda,alcohol,Científico,valparaiso,restos de una persona que vivió,Dormir,Escocia,herejia,quien da ordenes,raro,secretos,Lluvia,Mito infantil,Creencias,resultado,chaleco,Relajación,rica,Excepción,político,pequeño,empalagoso,expresión ,querer,aliens,amigos,pena,llama la atención,museo,poder,Evitar responsabilidad cívica,caras,opinión,Gato,ganancias,Diversión,hermosa y misteriosa,Peligro,duro,miedo,Pubertad,tormenta,indicación,A la espera de un choque,poder,universidad,cahuin,grito,Cuadrado,ayudar,piedras,Embriaguez,salen del lagrimal,se dice cuando algo no tiene remedio,mama de repuesto,Utopico,maligno,jurisdicción,dientes,Positivo,muerte,habito,autoritarismo,elaborado,tarot,Ambiente humedo,Enfocado,jefe de la mafia,mega construcciones,fisica,selva,hay uno famoso en Francia,división,facilidad,recargar,oxigeno,personas,argumento,Duro,Objeto colgando de una cuerda,Queja de un consumidor,autoconocimiento,retroceder,austeridad,Objeto metalico que recupera su forma,Rebelión ,La gatilla un argumento contrario,dinero a percibir,alcohol,riego y nutrientes,"Por lo general, nace desinteresadamente",Denso y firme,Flexible,enfado,nervio,Falta de delicades,Journey,Latero,Experimentos,no soporta el sol,"En religión, uno de los pecados capitales",culturas,el que se dedica a amargar a su entorrno,Familia
117,resultado,Capacidad mental,Veneno,cada pieza tiene un movimiento específico,Sucio,planes,Apoyo,apañadora,Madurez,bases,matriz,Depende del contexto,peligro,Noche en el bosque,metal,colores,experiencia,estomago,Bata blanca,malabares,con el paso del tiempo huele mal,polera larga,Cerveza de barril,el chuña,toma de descisiones,autoprotección,tesoros,Caserola,Pone huevos,Ficticio ,paciencia,ropa,Entretenimiento,protege a la comida,Placer,desfachatez,a veces son desapercibidos,azucarado,estabilidad,sentimiento,un ente,comuna,trauma,se parece a un torbellino,miguel angel,superioridad,evitar,etapas,construcción social ,Tigre,sueldo,Exaltación ,desconocida,Repentino,fino,imponente,Mujer,pánico,pista,Imparable,convencer,dinero,curiosidad,duelo,A la vista de todos,cambiar de lugar,tierra,mente,llorar,se siente frente a hechos malos,figura creada por la iglesia,Irrealista,dañino,orden,abuelas,Sarcasmo,terrorismo,educacion,real,diseño,triangulo bermudas,humo,Caro,titulo católica,poder,torque,Shrek,hay uno famoso en italia,comprar,rapidez,intimidar,pluton,familias,postulado,Libros,reloj,mal rato,transparente,giro,arrendar,Rebota,alboroto,Puede ser oral o escrito,renta mensual,cloro,no crece si se descuida,Puede ayudar ante un riesgo físico,Denso y firme,Sin ataduras,decepción,modestia ,yo,Honor,Notaria,Cierto,noche,Se endiosa a sí mismo,nómade,líquido agrio,Asociacion
118,receta,Tener coraje,abeja,se juega en silencio,Oficio,estrategia,Vapor,madre,Trabajólico,pilares,reparar,prenda de vestir,coraje,lobos salvajes,números,rectangular,pelo,guarda comida,Lentes de protección,orgia,con el paso del tiempo se vuelve amarillento,camisa que te queda larga,bar,crucificación,sabiduria,miedoso,humedad,Abuela,Ave estacional,Hechizero,toma tiempo llegar a ella,cojines,barco,da forma,chocolate,frescura,elemento,dañino para el pancreas,puede generar un cambio físico,pareja,grupo,comunidad,rechazo,pensar,romanticismo,inferioridad,salir,personalidades,punto de vista,Bigotes,billetes,locura,existen muchas,Parte de un arma,arido,multiuso,Biología,desastre sobrenatural,dudar,falta de energia,politica,monto,crimen,pena,cartel,comodidad,sequedad,claridad,tristeza,puede usarse en sentido irónico,confirmacion,Aburrido,abuso,imperativo,ardillas,Inesperado,conflicto,inculcado por la crianza,regio,trabajo,alquimia,mañana,claridad,es quién apadrina a alguien ,prudencia,angulo,lodo,edificio,caro,destreza,revisar,galaxia,identidad,deduccion,Amigos,fisica,algo salio mal,luz,error,reservar,fisica,tumulto,Puede ser oral o escrito,ingresos por trabajo,salud mental ,fortalecer,Puede salvar la integridad de quien lo solicita,solido,cadera,cansancio,humildad,ser torpe,Fama,Adultez,Tener certeza,ajo,Se relaciona con egocentrismo,aventurero,aceto,Union
119,Matemáticas,Tener paciencia,dolor,algunos lo consideran un deporte,Construccion,anhelos,Mal olor en la boca,preocupada,capacidad,conceptos,mejorar,traje,atrevimiento,perros,decisiones,asta,sociabilidad,obesidad,Guantes,hipster,suelen dar miedo,pijama largo,tomar cervezas,religion,confianza,imperceptible,platón,Caliente,Ave carnívora,maldal,satisfactorio,alta costura,buque,contiene todos los nutrientes,dulces,insolencia,fracción ,prohibido para diabéticos,existen distintos tipos,abrazo,colectivo,espacio,evitar,reflexionar,representacion,afecta en el trabajo,ponerse a salvo,formas,horrible,Garras,trabajo,exaltación,astronomía,Tiene forma curva,seco,difícil de prender,Cerebro,bunker,creer,incapacidad de cambiar,fascismo,salario,planes/complot,sentimiento ,advertencia,mecánica,inerte,estar despierto,sal,opresión en el pecho,bautizo,Cerrado de mente,cruela de vil,instrucción,piel,Felicidad,pistola,padres,oro,producción,sobrenatural,niebla,transparencia,Protector,frio,barra,barro,lugar de los muertos,Idoneo,práctica,ataque,planta,calles,inferencia,Colegio,teoria del pendulo,la especialidad de mis padres,brillo,vidas pasadas,apichangarse,rebote,caos,Un objeto que imita completamente a otro,ingresos económicos,ejercicio,nacimiento,Puede ayudar con un problema de otra índole menor,rigido,liberarse,profundo,introvertido,botar cosas,Fans,Estado,Conocimiento,antiguo,Se relaciona con un sentir de superioridad,explorador,escabeche,Amor
