Palabra (concepto),Descripción,Codificación
Compasión ,sentimiento,sentimiento
Compasión ,por lo que se le perdona la vida a alguien en las peliculas,perdón
plan,necesario para cumplir objetivos,objetivos
plan,organizar recursos o personas,organización
plan,estrategia,estrategia
Habilidad,capacidad,capacidad
Habilidad,por lo que se diferencian las personas,personal
Habilidad,lo que permite cumplir algunas metas,meta
Habilidad,pueden ser blandas o duras,blandas
Ganancia ,lo que genera un trabajo,trabajo
Ganancia ,utilidad,utilidad
Ganancia ,diferencia entre el costo y el precio de venta,diferencia
Verdad,contrario a mentira,no mentir
Esperanza,confianza ,confianza
Esperanza,fe que algo va a pasar,fe
Éxito,conseguir metas,meta
Éxito,ganar,ganar
Éxito,superar objetivos,superación
Oportunidad,lo que permite innovar,innovación
Oportunidad,en lo que se basa el éxito de un negocio,éxito
Oportunidad,un problema sin solcion es una,problemas
Felicidad,alegría,alegría
Felicidad,sentimiento,sentimiento
Felicidad,contrario a tristeza,no tristeza
Desesperación,sentimiento,sentimiento
Desesperación,cuando las cosas no resultan como uno quiere,no resultados
Razón ,comprension,comprensión
Razón ,sentimiento,sentimiento
Razón ,logica,lógica
Razón ,analisis,análisis
Razón ,vida,vida
Razón ,inteligencia,inteligencia
Razón ,abstraccion,abstracción
Razón ,empatia,empatía
Razón ,simpatia,simpatía
Razón ,paciencia,paciencia
Desesperación,impaciencia,impaciencia
Desesperación,impulsivo,impulso
Desesperación,angustia,angustia
Desesperación,descontento,descontento
Desesperación,depresion,depresión
Desesperación,ambigüedad,ambigüedad
Desesperación,apuro,apuro
Seguridad,contento,alegría
Seguridad,calido,calidez
Seguridad,comodidad,comodidad
Seguridad,estabilidad,estabilidad
Seguridad,equilibrio,equilibrio
Seguridad,control,control
Seguridad,vision,visión
Seguridad,sensorial,sensorial
Seguridad,de tener espacio ,espacio
Seguridad,concreto,concreto
Definición,de concretar algo,concreto
Definición,fijo,invariable 
Definición,hecho,hechos
Definición,solido,sólido
Definición,incambiante,no cambio
Definición,constante,constante
Definición,invariable,invariable 
Destreza,presición,precisión
Destreza,habilidad,habilidades
Destreza,facilidad,facilidad
Destreza,maestria,maestría
Destreza,optimo,óptimo
Destreza,impecabilidad,impecabilidad
Destreza,destacado,destacado
Destreza,habilitado,habilidades
Destreza,seguro,seguridad
Habilidad,destreza,destreza
Habilidad,facilidad,facilidad
Habilidad,general,general
Habilidad,de poder hacer cosas,poder
Habilidad,opcion,opción
Habilidad,libertad,libertad
Habilidad,independencia,independencia
Habilidad,seguridad,seguridad
Habilidad,estabilidad,estabilidad
Ansiedad,de sentir un apuro por que un hecho pase,apuro
Ansiedad,inestabilidad,inestabilidad
Ansiedad,desequilibrio interno,desequilibrio
Ansiedad,sensacion,sensación
Ansiedad,aprieto,aprieto
Ansiedad,angustia,angustia
Ansiedad,depresion,drepesión
Ansiedad,tension,tensión
Ansiedad,estrés,estrés
Ansiedad,apuro,apuro
Plan,organizado,organización
Plan,tranquilo,tranquilidad
Plan,pensado,pensamiento
Plan,racionalizado,razonamiento
Plan,ordenado,orden
Plan,equilibrado,equilibrio
Compasión ,bueno,bien
Compasión ,empatico,empatía
Compasión ,paciente,paciencia
Compasión ,benevolo,bondad
Compasión ,inteligente,inteligencia
Compasión ,sabio,sabiduría
Compasión ,pacifismo,pacifismo
Compasión ,perdon,perdón
Compasión ,del bien,bien
Compasión ,claro,claro
Agradecimiento,educacion,educación
Agradecimiento,de hacer notar una accion o favor,favor
Agradecimiento,atencion,atención
Agradecimiento,notacion,notación
Agradecimiento,sociedad,sociedad
Agradecimiento,regla,reglas
Agradecimiento,cortesia,cortesía
Agradecimiento,amabilidad,amabilidad
Agradecimiento,de bien,bien
Ansiedad,nervioso,nerviosismo
Ansiedad,preocupacion por algo,preocupación
Ansiedad,querer tener o hacer algo pronto,querer
Ansiedad,querer que pase rapido el tiempo por x motivo,querer
Ansiedad,sudor en las manos,sudor
Ansiedad,existe antes de una competencia,competencia
Ansiedad,existe antes de algun acontecimiento importante,acontecimiento importante
Ansiedad,todas las personas lo demuestran de maneras diferentes,todos
Ansiedad,es una forma de mostrar que se esta nervioso por algo,nerviosismo
Obligación,un deber,deber
Obligación,responsabilidad de hacer algo,responsabilidad
Obligación,algo que debe cumplirse,deber
Obligación,algo que se debe hacer o no hacer,hacer
Obligación,son reglas,reglas
Obligación,no esta hecho para discusión ,no discusión
Sugerencia ,consejo,concejo
Sugerencia ,hablar sobre mejora de algo,mejorar
Sugerencia ,como hacer algo mejor,mejorar
Sugerencia ,existe en empresas o negocios un libro para esto,libros
Sugerencia ,como corregir algo,correción
Razón ,capacidad de pensar,pensamiento
Razón ,propio del ser humano,humano
Razón ,inteligencia,inteligencia
Razón ,capacidad de argumentar o debatir algo,argumentación
Razón ,existe en un lema chileno,lema patrio
Felicidad,parecido a la alegria,alegría
Felicidad,mucha gente la busca,búsqueda
Felicidad,la relacionan con el dinero,dinero
Felicidad,se siente con el corazon,corazón
Felicidad,se da cuando se hace algo bien ,bien
Felicidad,cuando nos va bien en la vida,bien
Felicidad,lo relacionan con el éxito,éxito
Seguridad,confianza,confianza
Seguridad,antivirus,antivirus
Seguridad,sistema que aleja el peligro,no peligro
Seguridad,resguardar algo de robos,resguardo
Seguridad,encriptar,encriptar
Seguridad,guardias,guardias
Seguridad,proteccion,protección
Compasión ,piedad,piedad
Compasión ,misericordia,misericordia
Compasión ,las personas la generan u otorgan,generación
Compasión ,sentir tristesa por algo o alguien,tristeza
Compasión ,empatia,empatía
Plan,estrategia,estrategia
Plan,como conseguir algo,conseguir
