acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia ,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia ,verdad,éxito
llegar término aceptable persona respecto tema,['alguien hacer amable'],peligro,['estrés'],tener lastimo alguien,sentimiento angustiar perjudicar,eleción persontar situación,['explicación palabra'],tener paciencia,['habilidad poder ser fisicar mental'],inverso medio,justificación,pleno,['gana entrada dinero típico'],cualidad positiva persona,virtud positivo,['hacer alguien hacer'],['preocupación extremo'],['tipo costo economía'],['bueno'],['accion mental'],futuro,['capacidad organizar pensamiento críticamente'],['protegido'],proposición,diz certeza,desear persona valla bien
tipo pacto,['das gracias persona'],auxilio,['rapidez'],sentir pena alguno accion suceso,sentimiento negativo,buena mala,['encontrar mucho diccionario'],saber hacer,['existir juego mesa nombre'],utilizar estadístico,gente soler entregar mucho,sentir él bien mismo entorno,['entrada dinero extraordinario'],necesario lograr,sinceridad,['ir colegio'],['causa preocupación poseer'],"['hablar', 'elección poder generar beneficio']",['poder pasar malo'],['idea'],meta,['animal'],['hablar mucho vez hablar guardia'],consejo,miente,decir persona vida lleno logro
pacto,['acción favor persona ayudar'],pasar,['gana ocurrir'],ser empatico,hacer saber incorrecto queda pensar,deber evaluar,['dicese descripción objeto concepto'],encontrar él situación malo perder control,['necesitar deportista'],emocion,pretexto,aceptar rodear,['tener margen positivo utilidadser'],diferenciar persona,relacionar integridad,['deber hacer si si'],['permitir apartar pensamiento alguien'],['decir gente mayor estrato social mas menos afortunado'],['situacion riesgós'],['mucho vez hacer solo actua'],busca cumplir,['permitir tomar desición correcta actuar instinto'],['segundo nivel pirámidir maslow'],tip,habla persona revela oculto,lograr objetivo
conciliación,['sentir él feliz ayuda alguien hacerelo notar'],suceder,['terminar rapir'],perdonar pena,mujer dieta come chocolate después,aceptar hacer,['poder encontrar diccionario'],comenzar hacer cosa lógico lograr,['habilidad'],querer lograr dificil lograr él,decir querer justificarnos alguno accion hicimos persona,aprender valorar cada cosa,['contrario perdido'],distinto tipo,hacer falta persona poderoso mundo,['deber'],['adicción'],['chance'],['si incendio encuentra'],['opinión'],esquema organizado lograr objetivo,['cierto respecto'],['confianza'],concegir,buscar creyent cinetifico creación universo,forma medida lograr
trato,['decir oro'],alerta,['comer rapir'],ayudar,pasar malo responsabilidad sient,opta hacer nadie detener,['significar elemento'],actitud tomar frente situación estresant,['ser bueno'],servir automotivación,forma salir ileso situación desfavoreceer,sentir él alegre,['vender precio mayor costo original'],capacidad persona,decir mentira,['responsabilidad'],['deseado'],['tener posibilidad realizar'],['vez tem vida'],['mente'],realizar ejecutar trabajo acción,['propio persona encontrar correcto'],['control'],persona dar ayudar decisión,alguien cierto,buen resultado
contrato,['misa'],bomba,['enfermedad psicologico'],poner él lugar alguien pasar peor,pasar buscar cometer,referir elig carrera universitario salir colegio,['dar caracateristica tipica elemento'],encerrado lugar pequeño pón así,['cualidad positivo'],ir bien,mentira,sentir él contento,['beneficio'],ser bueno realizar accion,cualidad persona decir verdad,['tarea'],['constante'],['permitir hacer querer'],['si encuentra animal feroz'],['persona'],realacer previmente organizar prioridad ejecutar lograr buen desempeño objetivo,['sustrato biológico cerebro'],['chile'],dar motivo cambiar ratificar decision,siempre decir,lograr cien ciento
venta,['sacar problema'],terrorismo,['picotear comida'],empatiar,sentimiento negativo malo accion,elegir,['especificar uso'],pid ayuda alguien nunca pensar acudiría,['contrario hacer actividad mal'],pensar positivo pensar ocurrirar,utilizamos evadir,juzgar él mismo demá,['poder ser material conocimiento'],todo persona buena,cualidad positivo persona,['deber'],['soler provocar malo resultado'],['hicistir mal dejar intentar él denuevo'],['alejar normalmente'],['existir buen malo'],sucesivo acción,['verdadero según concebido cierto ser humano'],['empresa'],recomendación,valor,satisfecho
condición,['importante decir él'],ataque,['normalmente mujer'],misericordia,sentimiento reconocer equivocación comentar él,estudiar buen,['decir componente'],hacer cosa nunca pensar haría situación normal,['característico persona poder mostrar realizar cierto operación'],creyent dios,intento justificacion accion,pasar alguno situación añoraba sentimiento positivo respecto,['éxito'],poseer capacidad diferente,verdad delante,['reunión importante'],['dificíl controlar'],['posible lograr'],['malo'],['diferente resto'],persona poseer organizar vida,['acción acontecimiento'],['estar concierto'],forma aconsejar alguien llevar cabo,gente decir confianza,tener querer
dos mas participante,['valor decir él'],seguridad,['impulso llevar hacer'],lugar guerra,persona conocimiento error saber afectar ente,hacer gol necesario tomar buen,['determinar objetivo elemento'],forma estrés,['habilidad'],saber suceder,mentira verdad servir evadir situacion,calma,['dinero'],capacidad realizar,decir verdad,['regla'],"['generar placer', 'desencadenar']",['contrario dejar intentar él denuevo'],['tener cuidado'],['dá día día'],proyecto,['mente'],['estar banco'],recomendación,decir él juicio,realización
establecer regla,['sient alguien hacer bueno'],vida persona,['desear incontrolable frente acontecimiento evento'],mostrar debilidad,sentimiento,momento elegir importante,['aquel dar significar palabra u concepto'],sufrir persona cosa resultar,['maester'],tener confianza hecho hacer correcto,frase buscar ser perdonar,familia,['fruto'],destreza disciplina,confiable,['carácter'],['obstinación'],['aprovecha si dar'],['advertencia'],['creencia'],proposito,['tener verdad'],['confianza personal'],consejo,juez,triunfo
