Acuerdo,Agradecimiento,Amenaza,Ansiedad,Compasión,Compasión ,Culpa,Decisión,Definición,Desesperación,Destreza,Esperanza,Excusa,Felicidad,Ganancia,Ganancia ,Habilidad,Habilidad ,Honestidad,Obligación,Obsesión,Oportunidad,Peligro,Pensamiento,Plan,Razón,Razón ,Seguridad,Sugerencia,Sugerencia ,Verdad,plan,Éxito
A lo que se llega cuando 2 estados firman un convenio,Accion de una persona tras recibir algo,Acecha,"""picotear"" comida",Acompañar al otro en el sentimiento de dolor,benevolo,Agobio por algo que no se puede cambiar,Aceptar la pérdida de lo que no se escoge ,Acotamiento,Alteración del ánimo,Algo que se hace bien, sentir tranquilidad de que ocurrira lo que estamos esperando, palabras para safarse de algo o alguien, sensación placentera,Asociada al dinero,Algo positivo que uno se puede llevar de una experiencia,Algunos humanos nacen facilidades remarcables, Capacidad de realizar alguna tarea,A las personas les agrada,Acción a realizar por el manato de  jefeo superior,Actuar irracionalmente ,Algo que no se puede dejar pasar,Adevertencia,Amplio ,Algo objetivo ,Ambiguo,Coherencia,Algunos paises tienen mas que otros,Aclarar una confusión ,Apoyo,Algo objetivo,estrategia,Al hacer una actividad se busca eso
Algo que se consenza,Acción realizada cuando se quiere atribuir un acto o un hecho que produjo resultados beneficiosos para el receptor.,Actitud usada para crear miedo,Altera los nervios,Algo que conmueve,bueno,Algunos la sienten mas que otros,Capacidad de elegir ,Algo acotado,Angustia,Algunas se adquiren otras son inatas ,Acepta lo ocurrido ,Algo efímero,Abunda cuando estas con amistades,Aumento de Recursos,Beneficia a quien la obtiene,Capacidad(es) que destacan a una persona del resto,Cualidad,Acción de decir la verdad,Algo que hay que realizar por un compromiso,Adicción,Chanche,Alerta máxima,Analizar ,Algo organizado ,Argumento,El que gana una discusión la tiene,Anticonceptivo,Advertencia,Ayuda,Aseveración,necesario para cumplir objetivos,Asaña
Algo que se debe cumplir,Acto de dar las gracias respecto a algo.,Advertencia acerca de algo.,Angustia,Alivio  ,claro,Angustia,Cuando estoy entre dos cosas debo tomar una ,Ampliación de un término para su entendimiento,Ansiedad,Aveces son desperdiciadas ,Amor,Apela a los sentimientos,Aceptación al misterio,Aunque puede referirse a varios ámbitos como el aprendizaje ,Cuanto saque de un negocio,Caracteristica(s) que destaca(n) a una persona del resto,Cultivada con la repetición,Actuar en contra de ella puede resultar perjudicial,Algo que uno tiene que cumplir,Asociado al trastorno compulsivo ,Comprar algo en una oferta flash,Algo que puede hacer daño,Asociar,Analizar todo antes de hacer,"Aspecto que permite a una persona, saber lo que está bien y mal.",Esta en el lema patrio de Chile,Antónimo de estar en estado de altera,Ayuda ,Consejo,Conducta considerada honrada ,organizar recursos o personas,Asociado a felicidad
Aprovacion ,Al recibir algo damos esto a cambio.,Algo malo ,Angustia intolerable de la que uno no se hace cargo ,Apiadarse,del bien,Aparece sólo si se esta conciente que se hizo algo mal,Debe meditarse ,Ayuda a comunicarnos,Busqueda de ayuda,Aveces son envidiadas,Asumir algo por hecho,Aquello que causa placer o conformidad  a las personas,Alegria,Beneficio,Dinero,Destresa,Destreza,Asumir el presente,Calificación de una acción a la que te mandaron,Cegarse a algo,Constante busqueda,Algo que puede salir mal,Buscar información en la mente,Antes de ejecutar,Aspecto que permite tener un pensamiento lógico.,La gente loca la pierde,Aquel que se acerca para expresarte su gratitud por algo que hiciste,Consejo,Consejo ,Consiencia limpia ,,Aspiración 
Ceder ,Al salir de mi carrera le daré esto a mi madre,Algo o alguien que tiene potencial de causarme algun perjuicio,Anticipación de algún suceso desagrable,Apiadarse de algo o alguien,empatia,Arrepentimiento,Deben ser tomas en base a nuestros verdaderos sentimientos ,Ayuda a las personas a entender que son las cosas,Común a fin de semestre ,Buen desempeño,Causa diferentes emociones en la gente ,Barrera del ser,Alegrìa,Beneficios,El corte personal,Diferenciación ,Dominio,Capacidad de expresar estados internos complicados a otros,Contra mi voluntad,Conducta de riesgo ,Encontrar un camino,Algunos se preocupan más que otros,Cada uno lo expresa de una distinta forma,Ayuda a organizarce,Ayuda a tomar decisiones,abstraccion,Atrae el éxito,Consejo ,Es un tipo de acto por alguien mas que necesita una guia,Cuando una persona es franca (de franqueza),,Cuando se logra completar algun desafío
Chile tiene varios de estos con los países que lo limitan,Alegría con la situación y con una persona,Algo peligroso,Ausencia de algo,Autoestima ,empatico,Ataca mentalmente,Declinarme por algo ,Busca la simpleza e universalidad,Contra la espada y la pared,Buena habilidad en algo,Creencia,Busca el perdón,Alegría,"Cantidad de remuneración ya sea, en dinero, tributo o especies.","Es lo que uno obtiene al recibir un beneficio, ya sea esforzandose o no",Don,Don,Caracteristica del ser humano,"Cuando se es pequeño, ir al colegio es una …….",Cuando algo es deseado,Es un tipo de costo en economía,Alta probabilidad de riesgos ,Cadenas de la conciencia,Busca asegurar resultados esperados,Capacidad de actuar de una persona sobre las situaciones de la vida,analisis,Autoafirmación,Cuando doy mi opinión,Es un tipo de ayuda,Cuando una persona es sincera,,Cumplimiento de metas personales
Coincidir en algo ,Amerita retribucion,Algo que puede dañar ,Bruxismo,Ayudar,inteligente,Carga,Define el futuro,Caracteristica de una palabra,Contrario a relajado,Capacidad,Creer en algo,Conseguir o concretar un sueño,Bien estar,Casi siempre se habla de este concepto en términos monetarios,Factible,La manera en que alguien o algo realiza una acción,Experencia,Característica que se da en personas que no mienten y actuan de manera correcta respecto también a lo que piensan.,Cuando tienes un trabajo y no puedes fallar,Cuando quiero mucho repetir algo me provoca una ,Hay gente que las deja pasar,Amenaza,Capacidad que tiene nuestro cerebro de crear o estructurar conceptos abstractos que luego transforma en concretos y crea ideas. ,Busca lograr cierto objetivo,Capacidad de los humanos ,capacidad de argumentar o debatir algo,Autoestima retratada en el caminar y hablar,Cuando necesito ayuda sobre algo pido una,Es una forma de participar en la toma de decisiones ,Cuando uno dice las cosas con franqueza,,Cúspide laboral
Complicidad,Ayuda recibida,Algo que puede dañarte,Claustrofobia,Colocarse en el lugar del otro,las personas la generan u otorgan,Causa gran angustia,Depende de variables ,Caracteristicas de algo o alguien ,Corriendo contra el tiempo,Capacidad para competir en determinada área,Creer en que vendrán tiempos mejores,Cuando no quieres hacer algo buscas una…,Buen sentimiento que se da como resultado de un hecho positivo.,Contrario a perder ,Ganar,Lo contrario a discapacidad,Facilidad,Carácterística de la personalidad que se da cuando una persona es verdadera con sus actos y palabras.,Cuando uno hace un compromiso con otra persona y tiene que cumplirlo,Cuando se piensa mucho en algo que me gusta,Momento apropiado,Amenaza ,Capacidad que tienen las personas de razonar,Busca minimizar el peligro y las amenazas ,Capacidad de pensar,capacidad de pensar,Bienestar,Dar una idea sin saber si llevara a cabo ,Idea ,El arma mas poderosa,,El objetivo de todos en la vida
Comprometerse con alguien sobre algo a realizar.,Bondad,Algo que se entrega a otra persona ,Comerse las uñas,Contener a otro ,misericordia,Cuando alguein comete un error,Determinación,Cuando no entiendo algo necesito una ,Cuanddo se necesita algo urgentemente y sabes que no lo puedes tener,Capacidad relizar algo bien,Creer que algo benevolo podria suceder,Cuando uno da un pretexto ,Caracteristico del ser humano,Contrario a pérdida,Ingreso ,Los futbolistas poseen una mayor ………… que el resto para jugar futbol,Fuerte de alguien,Carácterística que se da en personas cuyas palabras tienen cohesión con sus hechos.,Cuando uno no quiere hacer algo volutariamente,Dejar de dormir por ese algo,Momento donde se abren espacios para la inclusión de algún concepto o persona,Amenaza externa,Cavilación,Camino a seguir,Coherencia ,característica determinante de la existencia del ser humano,Calma,Es aclarar a una persona respecto de un tema sin manipular,Interes sobre el tema,El camino correcto,,Es a lo que uno aspira
