acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,habilidad ,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
unanimidad,['forma recompensar alguno favor'],['poner persona riesgo'],['trastorno'],sentimiento empatiar,sentimiento negativo,['concluyente'],['datar caracteristica concepto'],emoción negativo,buen habilidad,['fe'],agravo falta,emoción positivo,['ingreso'],poseer capacidad mayor poseer,don,ser sincero,['deber hacer'],['idolatracion excesivo'],['chance'],situacion activo maximo alerta persona,mente,['preparado'],lógica,['zona confort'],opinión,['sinceridad'],sensacion enriquecedorar
conformidad,['sentimiento despu alguien hacer'],['relacionar chantaje'],['intranquilidad'],sentimiento servir ayudar resto,resultar mal acto provocado persona,"['siempre definir', 'conceptualmente']",['explicar'],angustiar,buen desempeño,['poder terner fundamento racional'],poder ser mentira,alegría,['sumar capital'],futbolista poseer mayor … … …… resto jugar futbol,facilidad,lealtad,['especie compromiso'],['conducta riesgo'],['deber aprovechar'],exposicion ser dañado,siempre tratar acertado,['paso'],poseer ser humano,['tranquilidad'],crítica constructivo,['objetivo'],suceder lograr
tratado,"['si hacer favor', 'sentir ……']",['generar angustiar recibir'],['impaciencia'],entender situacion,persona sentir partir arrepentimiento,['determinar situación'],['ayuda persona entender cosa'],sentimiento negativo,habilida,"['esperar mejor', 'preparado peor']",razón,regocijo,['persona recibir sueldo'],poder desarrollar él práctica,cultivado repetición,transparencia,['ser responsable hacer'],['persona sufrir poder llegar situación extremo'],['pasar dos vez'],generar angustiar miedo persona,capacidad persona razonar,['guia'],resolución problema,['estabilidad'],apor tú positivo,['honestidad'],persona proyecto positivo
justo,"['gran ……', 'hacia padre']",['forma manipular persona'],['poder producir bajo presión'],ver programa solidario,causa gran angustiar,"['si hacer mala elección sto', 'poder sufrir consecuencia']",['preponderante estudio alumno'],pensar solución,capacidad relizar bien,['poder ser objetiva subjetivo'],acción,bueno,"['distinto tipo', 'plano material emocional']",normalmente obtener despú esfuerzo,ventaja,respetar,['sometido'],['poder influir poco autoestima'],['poder entregar alguien bajo premisa cumplir'],riesgo,día … … …… ……,['modelo seguir'],contrario instinto,['poder pagar'],nuevo idea,['persona usar mas positiva'],realizacion
involucra responsabilidad,['contrario resentimiento'],['conducta extremo conseguir fin'],['creer desorden cuerpo'],lamento,solucion reconocer cometer error,['buena elección hacer sentir yo pleno'],['gracias poder tener orden mental cosa'],contrario esperanza,adquirar inata,['objetivamar poder ser termino matematico valor exacto'],disculpa injustificado,provocar sonrisa,['positivo'],contrario discapacidad,experencia,atributo,['deber cumplir gustar'],['confundir recurrentemente enamoramiento'],['afectado deber realizar acción mantener él'],resultar poco seguridad,reflexion,['estructurado'],pensamiento racional,['generar esperanza'],aviso,['soler evitar problema'],generar tranquilidad persona
compromiso,['oportunidad'],['posible peligro'],['nerviosismo'],empatir,sentir persona hacer cosa mala,['deber ser tomar base verdadero sentimiento'],['proporcionar sabidurio'],cuanddo necesitar urgentemente saber poder tener,determinar futuro persona,['subjetivamente multipl aplicación'],barrera ser,ánimo,['recompenso'],,,decir verdad,"['pequeño', 'ir colegio … …']",['llevar conducta asociado psicopatiar'],['acuardo implicito persona'],amenazar bienestar,filosofia,['involucra espontaneidad acontecimiento'],logica,['poder medir'],ayuda,['tanto fuerte meter problema'],motivo orgullo
tratado,['necesario'],['dar inseguridad persona'],['emoción'],comprensión suceso malo,primero paso sanacion malo sensacion,['diyuntivo'],['explicación alguno concepto'],tratar evitar sentimiento buscar solución,avez envidiado,['fe'],pretexto,alegría constante,['obtener luego gran esfuerzo'],,,sinceridad,['contrario prohibicion'],"['poder dejar pensar', 'querer']",['opcion'],persona buscar salvo,poder ser bueno malo,['proyecto'],servir explicar cosa traves pensamiento racional,['bien'],consejo,['conducta considerado honrado'],todo persona buscar
establecer dos entidad fin,"['agradecer', 'aprender']",['peligroso'],['impaciencia'],tristeza,sentimiento negativo,['analisis'],['diccionario poseer mucho … … ……'],agobio,avez desperdiciada,['creer'],pérdida confianza,poder llorar,['beneficio'],,,cualidad humano,['forzar'],['adicción'],['persona sentir agradecida gracias'],inseguridad,principal herramienta ser humano,['determinacion futuro'],gente intentar tener control,['derecho'],advertencia,['seguridad hecho'],poder
trato,['habilidad'],['dañino'],['deber regular'],sentimiento,bien acción realizar,['vision'],['significar palabra'],impotencia,habilidad,['religioso creer'],poco credibilidad,sentimiento agradable,['ingreso mayor gasto'],,,servir mejorar convivencia,['comprometer'],['centrar manera total atención'],['buscar trabajo buscar'],limitar,metodo analisis,['camino seguir'],gente discusión querer poseer él,['deber ser respetado'],orientacion,['estamento'],lograr
